timestamp,year,month,day,hour,minute,second,latitude,longitude,altitude_msl,altitude_ellipsoid,horizontal_accuracy,vertical_accuracy,fix_type,carrier_solution,num_satellites,pDOP,speed_2d,heading,vel_north,vel_east,vel_down,flags,source
36.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
37.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
38.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
39.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
40.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
41.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
42.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
43.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
44.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
45.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
46.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
47.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
48.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
49.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
50.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
51.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
52.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
53.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
54.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
55.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
56.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
57.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
58.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
59.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
60.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
61.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
62.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
63.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
64.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
65.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
